rec_id,given_name,surname,street_number,address_1,address_2,suburb,state,date_of_birth,phone_number
rec-1365-dup-1,fijdy,cambell,7,easterbrook place,,glenella,vic,,08 36403841
rec-6761-org,ashton,tulla,6,jabanungga avenue,paling south,surfers paradise,sa,19810620,03 40587782
rec-2224-dup-0,jenna,webb,0,gara slce,,leongatha,nsw,19000104,03 84946306
rec-5112-org,krystin,bishop,12,kingston street,,laverton,tas,19030620,03 87497732
rec-4148-org,micah,jolly,18,carr crescent,langi,surry hills,qld,19101204,03 45182789
rec-610-dup-0,katelyn,wight,4,laughtohr itreet,,greenqcre,vic,19230301,02 44240532
rec-2815-org,wil,blake,8,paul coe crescent,rockwood,northbridge,vic,,04 39490456
rec-4595-org,natassia,wyllie,27,dobell circuit,,bundaberg,vic,19471104,08 22279568
rec-3985-org,alexandra,gillard,7,kellick place,brentwood vlge,blakehurst,wa,19100914,08 87303326
rec-2154-org,allegra,mason,28,bainbridge close,,vale park,nsw,19781120,08 88175956
rec-1564-dup-0,ania,egan,319,damala tdreet,,burleigh heads,nsw,19108002,07 41987274
rec-7576-dup-1,jade,mccwryhy,84,springvake drive,,,vkg,19461128,04 86546986
rec-3904-dup-0,nicolaas,miell,188,nicollehzlace,anana,carlingford,nsw,19210613,04 61230831
rec-1643-dup-2,natbn,,,lachlan street,,newstead,qld,19140306,03 09001204
rec-1676-dup-3,montana,hudd,1197,pearson street,,williamstown,vic,19370421,03 68173258
rec-2096-dup-1,jade,druszzz,11,,,bunburgy,tas,19290927,02 20818575
rec-3063-dup-2,lachlan,lodge,16,goldstekn vrdscent,,murray beidge,wa,19834038,07 22266221
rec-5533-dup-2,jack,egan,12,skinner street,,coober pkedy,,19224802,03 01523529
rec-2197-dup-0,jaog,gully,12,mt warninggrescent,callatoota,warrandyte,,19950610,07 87873698
rec-6399-org,georgia,ryan,13,summers place,kanga park,granville,nsw,,04 94395519
rec-3523-dup-1,rachel,matthaerws,7,mcclintovk street,,ivanhe,qld,19300721,04 56064321
rec-5400-dup-2,keelet,cajbeal,10,judd place,cornucopia,toowong,,19811110,08 33687654
rec-2085-dup-0,chbl,berry,12,brophy street,calandra,coolah,quc,19740702,03 40681504
rec-3171-dup-1,oli,matthesw,67,weavell vplace,sweet waters,camperdown,nsw,19170307,04 02417132
rec-4311-dup-0,thomas,rivers,304,wentchecplace,,thornbury,nsw,19801616,02 80418430
rec-6578-org,edward,jessup,1,tom roberts avenue,,wokalup,sa,19850605,03 78160211
rec-338-org,,blenkinsopp,11,fenner street,,mirrabooka,,19690211,08 47021628
rec-4158-org,alex,boyle,7,port arthur street,,hocking,nsw,19791114,08 26472465
rec-2282-org,aliza,newel,13,bosworth circuit,morago,jamberoo,nsw,19310724,07 85265019
rec-7235-dup-0,,bovifl,46,whiteleggw close,,kalamunda,qle,19241226,03 11097335
rec-1020-dup-1,tarsjya,grdeaei,9,frosteplace,,como,vic,19050830,08 05087165
rec-6442-org,yasmin,berry,35,barnard circuit,kilmore,nowra,tas,19911017
rec-2739-dup-1,coner,penvbcter,52,,,innaloo,nsw,19860929,02 71774363
rec-6088-org,sarah,grimsell,45,ashley drive,shiel,prospect,nsw,19561201,08 02735793
rec-3978-dup-2,johnpaul,bnry,3,hannan crescent,cypress garden,noble park,,19120621,04 21704433
rec-5065-org,zac,broadhead,2,titheradge place,,,tas,19291109,08 65415550
rec-1637-dup-1,sebasrian,mason,32,norman street,,shellharbour,wa,19560625,07 61857167
rec-7262-dup-2,jasmin,ballantyne,7,handcock ctescent,,picnic point,nsw,19241213,02 41638212
rec-6073-dup-2,amy,everett,27,beal uoace,aberglasslyn cottage,cape schanck,nw,,07 63341258
rec-7388-org,emiily,jolly,16,flinders way,llantwit house,bicton,wa,19230822,07 59206397
rec-1107-dup-2,sophie,amiah,747,marrett itreet,,longjtty,sa,19500527,07 78651479
rec-1582-org,emiily,neumann,1,louis loder street,,port pirie,nsw,19740526,02 31060908
rec-5455-org,faith,excell,6,atherton street,inglewood,elsternwick,nsw,19530423,02 07370394
rec-7127-org,roberta,scargill,7,southern close,,revesby,vic,,02 98278653
rec-2955-org,madison,davis-bennett,46,torrens street,,st albans,,19090812,08 09178349
rec-1854-org,kristin,everett,40,macquarie street,lylehurst,dysart,nsw,19280222,07 55127911
rec-1916-dup-2,levi,campbell,14,coreedslce,,springvakeo south,qld,19531112,04 60492458
rec-5192-dup-2,ssm,maclnn an,2,bainton clescent,,ngunnal,nsw,19950729,02 17823586
rec-5144-dup-2,,elhelou,65,spencers treet,shaudell,altona north,nsw,19820423,07 18451555
rec-5737-org,hayden,broade,1,ash place,,smithfield,sa,19161116,
rec-3336-dup-1,molly,verschoor,5,street ablerga,,mansef,nsw,19030913,04 57361894
rec-4503-dup-0,jarred,blj,19,national circuit,,scarborough,nsl,19830915,03 96461492
rec-1559-dup-0,alexander,,1,bromlehtwreet,,pambula beach,qld,19040530,03 43013972
rec-6019-dup-2,jayden,vincent,12,bundehrseet,,cherbourg,nsw,19120511,02 95774743
rec-3937-dup-0,anita,priesg,64,woollum treet,,wanneroo,wa,19370202,02 82145491
rec-3613-dup-1,mikhaili,browne,2,southwoodretreat,cold higham,tariga,nsw,19160315,02 51954882
rec-6104-dup-1,,hassold,22,booth crescent,tewantin plaza,beachmere,vi,19161215,07 05050487
rec-2212-dup-2,dylan,green,74,heagney crescent,dromard,tordonto,,19640920,
rec-5831-dup-0,charlotte,burnell,,magrath crescent,,yeronga,qld,19760703,02 03522018
rec-3636-dup-1,bethsny,cromer,13,roseworthy crescent,,rochedake south,wa,19949248,03 99488483
rec-317-org,dean,donaldson,8,ulverstone street,greystanes,kingston,,19930117,08 56390232
rec-4649-dup-2,max,gilbertson,14,marrakai street,,north naerbeen,nsw,19079717,08 22751283
rec-1936-org,isabella,howie,95,sassafras place,,launceston south,qld,19980203,04 45371158
rec-2517-org,emiily,robson,204,fink crescent,shady creek,orchid valley,nsw,,02 50359413
rec-5608-dup-3,lottie,dinnison,567,vasey ceuscent,,park orchards,nsw,19031015,04 50917136
rec-3777-org,thomas,campbell,350,osburn drive,lirambenda,lalor,vic,19000714,04 66680469
rec-1811-org,samuel,coleman,127,simpson street,munyapla,dayboro,sa,19510129,03 52045535
rec-479-dup-3,benjamin,kotaro,25,louadpxe,,elliott heads,vic,19760810,02 64827414
rec-1701-dup-2,imiegm,wiseman,,bavin street,,wannerlo,ql,,02 03066396
rec-4138-dup-0,lukr,hoese,21,albermarerplace,,toowoomba,,19680821,
rec-3655-dup-0,riley,ang,123,whiteley street,,launchinhplace,,19160606,02 78924677
rec-1762-dup-0,willlam,tuc,25,bottrillestreet,,railway estate,wv,19220619,03 24964599
rec-4648-dup-0,miranda,carbpne,3,ina gregory circuit,,bethania,,19570728,04 12986701
rec-4790-dup-0,bailey,grime,5,moronetx treet,,fofth,nsw,19189814,03 42856082
rec-5352-dup-0,scotr,priebe,8,stralia place,,burndude,nsw,19721014,08 97617604
